id	name	ascii	alt_name	lat	long	feat_class	feat_code	country	cc2	admin1	admin2	admin3	admin4	population	elevation	dem	tz	modified_at
4169014	Pompano Beach	Pompano Beach	PPM,Pompano Beach,Pompano Bich,Pompano-Bich,bwmbanw syty, flwryda,pang pa nuo bi qi,ponpanobichi,pwmpanw bych, flwryda,Помпано Бич,Помпано-Біч,بومبانو سيتي، فلوريدا,پومپانو بیچ، فلوریدا,ポンパノビーチ,龐帕諾比奇	26.23786	-80.12477	P	PPL	US		FL	011			99845	4	11	America/New_York	2011-05-14
4169018	Pompano Beach Highlands	Pompano Beach Highlands		26.28286	-80.10699	P	PPL	US		FL	011			7192	4	9	America/New_York	2006-01-17
4169060	Ponte Vedra Beach	Ponte Vedra Beach	Ponte-Vedra-Bich,Понте-Ведра-Бич	30.23969	-81.38564	P	PPL	US		FL	109			35400	4	5	America/New_York	2010-06-07
4169130	Port Charlotte	Port Charlotte		26.97617	-82.09064	P	PPL	US		FL	015			54392	1	4	America/New_York	2011-05-14
4169156	Port Orange	Port Orange		29.13832	-80.99561	P	PPL	US		FL	127			56048	2	8	America/New_York	2011-05-14
4169170	Port Saint John	Port Saint John		28.47695	-80.78867	P	PPL	US		FL	009			12267	8	11	America/New_York	2011-05-14
4169171	Port Saint Lucie	Port Saint Lucie	Port St. Lucie	27.29393	-80.35033	P	PPL	US		FL	111			164603	5	8	America/New_York	2011-05-14
4169176	Port Salerno	Port Salerno		27.14422	-80.2006	P	PPL	US		FL	085			10091	4	7	America/New_York	2011-05-14
4169345	Princeton	Princeton	Prinston,Принстон	25.53844	-80.40894	P	PPL	US		FL	086			22038	3	8	America/New_York	2011-05-14
4169378	Progress Village	Progress Village		27.9003	-82.36454	P	PPL	US		FL	057			5392	5	10	America/New_York	2011-05-14
4169452	Punta Gorda	Punta Gorda	PGD,Panta Gorda,Punta-Gorda,bwnta ghwrda, flwryda,peng ta ge er da,pwnta gwrda, flwryda,Панта Горда,Пунта-Ґорда,بونتا غوردا، فلوريدا,پونتا گوردا، فلوریدا,蓬塔戈尔达	26.92978	-82.04537	P	PPLA2	US		FL	015			16641	1	2	America/New_York	2011-05-14
4169455	Punta Gorda Isles	Punta Gorda Isles		26.91756	-82.07842	P	PPL	US		FL	015			18306	0	3	America/New_York	2006-01-17
4169510	Quincy	Quincy	Kuinsi,Куинси	30.58714	-84.58325	P	PPLA2	US		FL	039			7972	63	69	America/New_York	2011-05-14
4170000	Richmond Heights	Richmond Heights		25.63149	-80.36894	P	PPL	US		FL	086			8541	3	10	America/New_York	2011-05-14
4170005	Richmond West	Richmond West		25.6105	-80.42971	P	PPL	US		FL	086			31973	2	8	America/New_York	2011-05-14
4170092	River Park	River Park	Port Saint Lucie-River Park	27.31421	-80.34727	P	PPL	US		FL	111			5222	4	10	America/New_York	2011-05-15
4170156	Riverview	Riverview		27.86614	-82.32648	P	PPL	US		FL	057			71050	5	9	America/New_York	2011-05-14
4170174	Riviera Beach	Riviera Beach		26.77534	-80.0581	P	PPL	US		FL	099			32488	4	9	America/New_York	2011-05-14
4170358	Rockledge	Rockledge		28.35084	-80.72533	P	PPL	US		FL	009			24926	7	11	America/New_York	2011-05-14
4170556	Rotonda	Rotonda		26.88368	-82.29009	P	PPL	US		FL	015			8759	3	4	America/New_York	2011-05-14
4170617	Royal Palm Beach	Royal Palm Beach		26.7084	-80.2306	P	PPL	US		FL	099			34140	5	14	America/New_York	2011-05-14
4170688	Ruskin	Ruskin		27.72086	-82.43315	P	PPL	US		FL	057			17208	1	4	America/New_York	2011-05-14
4170797	Safety Harbor	Safety Harbor		27.99085	-82.69316	P	PPL	US		FL	103			16884	6	12	America/New_York	2011-05-14
4170894	Saint Augustine	Saint Augustine	St. Augustine	29.89469	-81.31452	P	PPLA2	US		FL	109			12975	0	8	America/New_York	2011-05-14
4170896	Saint Augustine Beach	Saint Augustine Beach		29.85053	-81.26535	P	PPL	US		FL	109			6176	2	1	America/New_York	2011-05-14
4170908	Saint Augustine Shores	Saint Augustine Shores		29.8108	-81.31035	P	PPL	US		FL	109			7359	8	13	America/New_York	2011-05-14
4170965	Saint Cloud	Saint Cloud		28.2489	-81.28118	P	PPL	US		FL	097			35183	23	25	America/New_York	2011-05-14
4171522	Saint Pete Beach	Saint Pete Beach	St. Pete Beach	27.72531	-82.74121	P	PPL	US		FL	103			9346	0	3	America/New_York	2011-05-14
4171563	Saint Petersburg	Saint Petersburg	Saint Petersburg,St. Petersburg	27.77086	-82.67927	P	PPL	US		FL	103			244769	13	16	America/New_York	2011-05-14
4171782	San Carlos Park	San Carlos Park		26.4673	-81.80147	P	PPL	US		FL	071			16824	5	10	America/New_York	2011-05-14
4172052	Sanibel	Sanibel		26.44897	-82.02231	P	PPL	US		FL	071			6469	1	8	America/New_York	2011-05-14
4172086	Sanford	Sanford	Sanford,Senford,sanfwrd, flwryda,sang fu de,snfwrd, flwryda,Санфорд,Сенфорд,سانفورد، فلوريدا,سنفورد، فلوریدا,桑福德	28.80055	-81.27312	P	PPLA2	US		FL	117			53570	9	8	America/New_York	2013-04-14
4172131	Sarasota	Sarasota	Sarasota,sa la suo ta,saeleosota,saraswta, flwryda,Сарасота,ساراسوتا، فلوريدا,ساراسوتا، فلوریدا,萨拉索塔,새러소타	27.33643	-82.53065	P	PPLA2	US		FL	115			51917	7	11	America/New_York	2011-05-14
4172150	Sarasota Springs	Sarasota Springs		27.30894	-82.47954	P	PPL	US		FL	115			14395	7	15	America/New_York	2011-05-14
4172173	Satellite Beach	Satellite Beach		28.17612	-80.59005	P	PPL	US		FL	009			10109	4	6	America/New_York	2011-05-14
4172294	Scott Lake	Scott Lake		25.94148	-80.23199	P	PPL	US		FL	086			14425	2	8	America/New_York	2006-01-17
4172372	Sebastian	Sebastian		27.81642	-80.47061	P	PPL	US		FL	061			21929	6	13	America/New_York	2011-05-14
4172383	Sebring	Sebring	SEF,Sibring,sai bai ling,sbryng, flwryda,sybryngh, flwryda,Сибринг,سبرینگ، فلوریدا,سيبرينغ، فلوريدا,赛百灵	27.49559	-81.44091	P	PPLA2	US		FL	055			10491	41	46	America/New_York	2011-05-14
4172413	Seffner	Seffner		27.98363	-82.27565	P	PPL	US		FL	057			7579	21	29	America/New_York	2011-05-14
4172434	Seminole	Seminole		27.83975	-82.79121	P	PPL	US		FL	103			17233	11	16	America/New_York	2011-05-14
4172602	Shady Hills	Shady Hills		28.41	-82.54288	P	PPL	US		FL	101			11523	16	25	America/New_York	2011-05-14
4172935	Siesta Key	Siesta Key		27.30199	-82.55149	P	PPL	US		FL	115			6565	1	6	America/New_York	2011-05-14
4173007	Silver Springs Shores	Silver Springs Shores	Silver Springs	29.10442	-82.02064	P	PPL	US		FL	083			6539	29	33	America/New_York	2011-05-14
4173124	Sky Lake	Sky Lake		28.45723	-81.39146	P	PPL	US		FL	095			6153	30	33	America/New_York	2011-05-14
4173392	South Bradenton	South Bradenton		27.4631	-82.58176	P	PPL	US		FL	081			22178	6	10	America/New_York	2011-05-14
4173394	South Apopka	South Apopka		28.66194	-81.50952	P	PPL	US		FL	095			5728	38	39	America/New_York	2011-05-14
4173431	South Daytona	South Daytona		29.16582	-81.0045	P	PPL	US		FL	127			12252	3	6	America/New_York	2011-05-14
4173460	South Gate Ridge	South Gate Ridge		27.28644	-82.49676	P	PPL	US		FL	115			5688	9	14	America/New_York	2011-05-14
4173467	South Highpoint	South Highpoint		27.91697	-82.71288	P	PPL	US		FL	103			5195	4	12	America/New_York	2011-05-14
4173495	South Miami	South Miami		25.7076	-80.29338	P	PPL	US		FL	086			11657	3	10	America/New_York	2011-05-14
4173497	South Miami Heights	South Miami Heights		25.59761	-80.38061	P	PPL	US		FL	086			35696	3	8	America/New_York	2011-05-14
4173528	South Patrick Shores	South Patrick Shores		28.20223	-80.6095	P	PPL	US		FL	009			5875	0	4	America/New_York	2011-05-14
4173593	South Venice	South Venice		27.05311	-82.42426	P	PPL	US		FL	115			13949	4	7	America/New_York	2011-05-14
4173600	Southchase	Southchase		28.39306	-81.3834	P	PPL	US		FL	095			15921	27	29	America/New_York	2011-05-14
4173634	Southgate	Southgate		27.3081	-82.50982	P	PPL	US		FL	115			7173	0	5	America/New_York	2011-05-14
4173717	Southwest Ranches	Southwest Ranches		26.0587	-80.33727	P	PPL	US		FL	011			7345	1	7	America/New_York	2011-05-14
4173838	Spring Hill	Spring Hill	Spring-Khill,Спринг-Хилл	28.47688	-82.52546	P	PPL	US		FL	053			98621	14	20	America/New_York	2011-05-14
4173892	Springfield	Springfield	Springfild,Спрингфилд	30.15326	-85.61132	P	PPL	US		FL	005			8903	8	16	America/Chicago	2011-05-14
4173999	Starke	Starke		29.94413	-82.10983	P	PPLA2	US		FL	007			5449	50	47	America/New_York	2011-05-14
4174201	Stuart	Stuart	SUA,Stjuart,astwart, flwryda,seutyueoteu,si tu er te,stywart, flwryda,Стјуарт,استوارت، فلوریدا,ستيوارت، فلوريدا,斯图尔特,스튜어트	27.19755	-80.25283	P	PPLA2	US		FL	085			15593	3	9	America/New_York	2011-05-14
4174252	Sugarmill Woods	Sugarmill Woods		28.73221	-82.50621	P	PPL	US		FL	017			8287	25	32	America/New_York	2011-05-14
4174317	Sun City Center	Sun City Center	Greater Sun Center	27.71809	-82.35176	P	PPL	US		FL	057			19258	15	19	America/New_York	2011-05-15
