id	name	latitude	longitude	country	prov_state
4069553	Jacksonville	33.81371	-85.76135	US	AL
4069659	Jasper	33.83122	-87.27751	US	AL
4071488	Lake Purdy	33.43011	-86.68054	US	AL
4071763	Lanett	32.86874	-85.1905	US	AL
4072130	Leeds	33.54816	-86.54443	US	AL
4072767	Lincoln	33.61316	-86.11831	US	AL
4074267	Madison	34.69926	-86.74833	US	AL
4075692	Meadowbrook	33.40205	-86.69665	US	AL
4075854	Meridianville	34.85148	-86.57222	US	AL
4075977	Midfield	33.4615	-86.90888	US	AL
4076239	Millbrook	32.47986	-86.36192	US	AL
4076598	Mobile	30.69436	-88.04305	US	AL
4076725	Monroeville	31.52794	-87.32471	US	AL
4076771	Montevallo	33.10067	-86.86416	US	AL
4076784	Montgomery	32.36681	-86.29997	US	AL
4076842	Moody	33.59094	-86.49082	US	AL
4076982	Moores Mill	34.84398	-86.51832	US	AL
4078646	Mountain Brook	33.50094	-86.75221	US	AL
4078964	Muscle Shoals	34.74481	-87.66753	US	AL
4080555	Northport	33.22901	-87.57723	US	AL
4081644	Opelika	32.64541	-85.37828	US	AL
4081671	Oneonta	33.94815	-86.47276	US	AL
4081683	Opp	31.28267	-86.25551	US	AL
4081696	Orange Beach	30.29437	-87.57359	US	AL
4081914	Oxford	33.61427	-85.83496	US	AL
4081936	Ozark	31.45906	-85.64049	US	AL
4082569	Pelham	33.28567	-86.80999	US	AL
4082589	Pell City	33.58621	-86.28609	US	AL
4082866	Phenix City	32.47098	-85.00077	US	AL
4083073	Pike Road	32.28431	-86.10302	US	AL
